Agency_Name,Planned_Project_Completion_Date_B2,Projected_slash_Actual_Project_Completion_Date_B2,Project_isDelayed,Lifecycle_Cost,Start_Date
Department of Agriculture,,,,18.4645,03/10/2011
Department of Agriculture,,,,21.611,03/10/2011
Department of Agriculture,,,,242.984,01/10/2006
Department of Agriculture,,,,242.985,01/10/2006
Department of Agriculture,,,,242.985,01/10/2006
Department of Agriculture,,,,242.984,01/10/2006
Department of Agriculture,,,,242.984,01/10/2006
Department of Agriculture,,,,242.985,01/10/2006
Department of Agriculture,,,,675,01/10/2011
Department of Agriculture,,,,0.55,01/06/2011
Department of Agriculture,,,,0.8,15/02/2011
Department of Agriculture,,,,116.8,01/10/2002
Department of Agriculture,,,,1.451,01/07/2011
Department of Agriculture,,,,7.32,01/06/2012
Department of Agriculture,,,,3805,01/10/2011
Department of Agriculture,,,,21.04546,01/10/2011
Department of Agriculture,,,,15.297,01/10/2011
Department of Agriculture,,,,1.46,01/04/2012
Department of Agriculture,,,,7.276,20/07/2011
Department of Agriculture,,,,16.248,01/10/2011
Department of Agriculture,,,,1.22028,22/09/2011
Department of Agriculture,,,,4.707543,22/09/2011
Department of Agriculture,,,,4.282884,01/10/2011
Department of Agriculture,,,,2.149643,14/09/2011
Department of Agriculture,,,,1.45,01/10/2012
Department of Agriculture,,,,119098.812,01/07/2011
Department of Agriculture,,,,65.733,30/09/2004
Department of Agriculture,,,,4.885,01/10/2011
Department of Agriculture,,,,7.02,01/10/2011
Department of Agriculture,,,,4.175,01/06/2012
Department of Agriculture,,,,1.392,01/09/2012
Department of Agriculture,,,,0.4,01/08/2012
Department of Agriculture,,,,0.03,01/01/2012
Department of Agriculture,,,,0.256,01/01/2012
Department of Agriculture,,,,9.765558,01/10/2012
Department of Agriculture,,,,14.836,30/09/2010
Department of Agriculture,,,,4.92,14/07/2010
Department of Agriculture,,,,11.272,04/01/2010
Department of Agriculture,,,,2.211,02/08/2010
Department of Agriculture,,,,4.004,01/11/2010
Department of Agriculture,,,,1.732,01/07/2010
Department of Agriculture,,,,2.545,30/08/2010
Department of Agriculture,,,,10.028,19/07/2010
Department of Agriculture,,,,5.474,01/09/2010
Department of Agriculture,,,,11.13,26/02/2010
Department of Agriculture,,,,8.649,01/06/2010
Department of Agriculture,,,,0.540347,15/06/2012
Department of Agriculture,,,,0.835822,15/06/2012
Department of Agriculture,,,,2.163072,01/08/2012
Department of Agriculture,,,,0.108154,01/08/2012
Department of Agriculture,,,,0.689479,01/08/2012
Department of Agriculture,,,,1.622304,01/08/2012
Department of Agriculture,,,,0.627291,15/06/2012
Department of Agriculture,,,,1.232951,15/08/2012
Department of Agriculture,,,,0.541523,15/08/2012
Department of Agriculture,,,,1.39304,01/08/2012
Department of Agriculture,,,,0.182509,15/06/2012
Department of Agriculture,,,,3.244608,15/06/2012
Department of Agriculture,,,,0.144069,15/06/2012
Department of Agriculture,,,,6.489216,01/08/2012
Department of Agriculture,,,,0.115711,15/06/2012
Department of Agriculture,,,,0.540768,01/08/2012
Department of Agriculture,,,,0.047588,15/06/2012
Department of Agriculture,,,,0.547257,01/08/2012
Department of Agriculture,,,,0.146007,15/06/2012
Department of Agriculture,,,,0.146007,01/08/2012
Department of Agriculture,,,,0.743556,15/06/2012
Department of Agriculture,,,,0.005408,15/06/2012
Department of Agriculture,,,,0.048669,01/08/2012
Department of Agriculture,,,,2.858292,15/06/2012
Department of Agriculture,,,,12.659379,15/06/2012
Department of Agriculture,,,,0.636808,15/06/2012
Department of Agriculture,,,,2.947186,15/08/2012
Department of Agriculture,,,,2.595686,01/08/2012
Department of Agriculture,,,,2.7036,01/10/2011
Department of Agriculture,,,,2.3252,30/09/2011
Department of Agriculture,,,,1.988088,01/10/2011
Department of Agriculture,,,,10.386,01/04/2012
Department of Commerce,09/10/2013,09/10/2013,0,8.49282,03/10/2011
Department of Commerce,22/03/2012,30/09/2013,557,0.72472,08/11/2011
Department of Commerce,30/04/2013,31/07/2013,92,1.89967,18/01/2012
Department of Commerce,28/02/2013,30/06/2013,122,4.45,01/05/2012
Department of Commerce,28/02/2013,30/06/2013,122,1.225,01/05/2012
Department of Commerce,28/06/2013,28/06/2013,0,4.33647,28/02/2012
Department of Commerce,28/06/2013,28/06/2013,0,0.52544,17/05/2012
Department of Commerce,19/12/2012,17/05/2013,149,1,30/08/2011
Department of Commerce,19/04/2013,19/04/2013,0,1.76934,02/01/2012
Department of Commerce,11/04/2013,11/04/2013,0,1.51959,19/03/2012
Department of Commerce,01/03/2013,31/03/2013,30,1.65455,25/01/2012
Department of Commerce,28/12/2012,27/03/2013,89,2.05995,01/10/2011
Department of Commerce,04/01/2013,04/01/2013,0,1.4,20/06/2012
Department of Commerce,31/12/2012,31/12/2012,0,11.71154,27/10/2011
Department of Commerce,31/12/2012,31/12/2012,0,2.73157,20/10/2011
Department of Commerce,31/12/2012,31/12/2012,0,5.21836,03/10/2011
Department of Commerce,31/12/2012,31/12/2012,0,2.32,05/10/2011
Department of Commerce,10/08/2012,31/12/2012,143,0.8719,01/05/2012
Department of Commerce,28/12/2012,28/12/2012,0,2.55249,31/08/2011
Department of Commerce,09/01/2012,20/12/2012,346,0.80047,22/07/2011
Department of Commerce,13/09/2012,20/12/2012,98,0.5,14/12/2011
Department of Commerce,17/12/2012,18/12/2012,1,0.185,16/12/2011
Department of Commerce,07/12/2012,14/12/2012,7,0.61879,12/09/2011
Department of Commerce,13/12/2012,13/12/2012,0,1.08423,22/02/2012
Department of Commerce,28/09/2012,12/12/2012,75,0.175,25/01/2012
Department of Commerce,30/11/2012,30/11/2012,0,0.79586,30/05/2012
Department of Commerce,29/11/2012,29/11/2012,0,3.24,26/07/2011
Department of Commerce,28/11/2012,28/11/2012,0,1.43565,04/06/2012
Department of Commerce,28/11/2012,28/11/2012,0,2.6702,13/06/2012
Department of Commerce,23/11/2012,23/11/2012,0,3.00238,02/04/2012
Department of Commerce,15/11/2012,20/11/2012,5,3.00238,09/02/2012
Department of Commerce,11/01/2012,15/11/2012,309,0.71414,16/11/2011
Department of Commerce,02/04/2012,07/11/2012,219,1.7542,01/09/2011
Department of Commerce,12/10/2012,31/10/2012,19,0.4763,27/07/2011
Department of Commerce,31/10/2012,26/10/2012,-5,12.72751,19/08/2010
Department of Commerce,29/08/2012,24/10/2012,56,3.27144,12/09/2011
Department of Commerce,30/11/2012,19/10/2012,-42,1.5,01/12/2011
Department of Commerce,01/10/2012,18/10/2012,17,0.35,02/05/2012
Department of Commerce,30/08/2012,16/10/2012,47,0.085,29/02/2012
Department of Commerce,05/09/2012,04/10/2012,29,4.31893,28/02/2010
Department of Commerce,28/09/2012,02/10/2012,4,0.758,03/10/2011
Department of Commerce,01/10/2012,01/10/2012,0,5.248994,01/07/2011
Department of Commerce,30/09/2012,30/09/2012,0,6.22,01/10/2011
Department of Commerce,30/09/2012,30/09/2012,0,1,01/10/2011
Department of Commerce,30/09/2012,30/09/2012,0,0.49,01/10/2011
Department of Commerce,30/09/2012,30/09/2012,0,1.6,01/10/2011
Department of Commerce,30/03/2012,30/09/2012,184,11,01/10/2005
Department of Commerce,30/09/2012,30/09/2012,0,7.849,01/10/2007
Department of Commerce,30/09/2012,30/09/2012,0,8.824,01/07/2008
Department of Commerce,30/09/2012,30/09/2012,0,5.549,01/10/2010
Department of Commerce,30/09/2012,30/09/2012,0,77.77,24/09/2007
Department of Commerce,30/09/2012,30/09/2012,0,782.089,19/03/2007
Department of Commerce,30/09/2012,30/09/2012,0,54.8,01/06/2007
Department of Commerce,30/09/2012,30/09/2012,0,117.419,01/06/2007
Department of Commerce,30/09/2012,30/09/2012,0,130.703,19/07/2010
Department of Commerce,30/09/2012,30/09/2012,0,42.561,05/08/2010
Department of Commerce,30/09/2012,30/09/2012,0,8,01/10/2010
Department of Commerce,30/09/2012,30/09/2012,0,0.9,01/04/2011
Department of Commerce,30/09/2012,30/09/2012,0,3.734,01/04/2011
Department of Commerce,30/09/2012,30/09/2012,0,54.468197,01/07/2011
Department of Commerce,30/09/2012,30/09/2012,0,0.927026,01/07/2011
Department of Commerce,06/07/2012,30/09/2012,86,1.6,01/10/2010
Department of Commerce,30/09/2012,30/09/2012,0,15.445,18/11/2011
Department of Commerce,30/09/2012,30/09/2012,0,2.501,18/11/2011
Department of Commerce,30/09/2012,30/09/2012,0,35.573,18/11/2011
Department of Commerce,30/09/2012,30/09/2012,0,72.647,01/11/2006
Department of Commerce,30/09/2012,30/09/2012,0,1.24,20/08/2011
Department of Commerce,30/09/2012,30/09/2012,0,9.76,01/10/2011
Department of Commerce,30/09/2012,30/09/2012,0,0.6,01/10/2011
Department of Commerce,30/09/2012,30/09/2012,0,0.35,03/01/2012
Department of Commerce,30/09/2012,30/09/2012,0,0.48,21/05/2012
Department of Commerce,30/09/2012,30/09/2012,0,0.754,28/10/2011
Department of Commerce,30/09/2012,30/09/2012,0,23.04,01/12/2011
Department of Commerce,28/09/2012,28/09/2012,0,0.275,15/08/2011
Department of Commerce,28/09/2012,28/09/2012,0,1.65,01/10/2011
Department of Commerce,28/09/2012,28/09/2012,0,2.308,01/10/2011
Department of Commerce,28/09/2012,28/09/2012,0,233.156,01/10/2006
Department of Commerce,28/09/2012,28/09/2012,0,77.976,01/07/2009
Department of Commerce,28/09/2012,28/09/2012,0,75,01/10/2010
Department of Commerce,28/09/2012,28/09/2012,0,5.529,03/10/2011
Department of Commerce,28/09/2012,28/09/2012,0,10.5,01/10/2010
Department of Commerce,31/03/2012,28/09/2012,181,4.875,25/08/2011
Department of Commerce,28/09/2012,28/09/2012,0,0.532,03/01/2012
Department of Commerce,29/06/2012,28/09/2012,91,0.4,03/01/2012
Department of Commerce,28/09/2012,28/09/2012,0,0.49,03/01/2012
Department of Commerce,28/09/2012,28/09/2012,0,1.490352,01/03/2011
Department of Commerce,27/09/2012,28/09/2012,1,2.8,19/08/2011
Department of Commerce,28/09/2012,28/09/2012,0,1.035,03/10/2011
Department of Commerce,28/09/2012,28/09/2012,0,0.2,01/10/2011
Department of Commerce,28/09/2012,28/09/2012,0,3.871,01/10/2011
Department of Commerce,28/09/2012,28/09/2012,0,0.84207,07/09/2011
Department of Commerce,30/11/2012,17/09/2012,-74,1,01/12/2011
Department of Commerce,14/09/2012,14/09/2012,0,1.58,01/11/2011
Department of Commerce,05/07/2012,13/09/2012,70,11.339878,19/01/2010
Department of Commerce,30/03/2012,13/09/2012,167,1.5,08/11/2010
Department of Commerce,01/03/2012,07/09/2012,190,3.824429,18/08/2010
Department of Commerce,28/09/2012,06/09/2012,-22,0.25025,31/01/2012
Department of Commerce,30/03/2012,04/09/2012,158,8.431158,10/06/2011
Department of Commerce,03/08/2012,04/09/2012,32,2.56928,06/06/2011
Department of Commerce,28/09/2012,31/08/2012,-28,2.495,01/10/2011
Department of Commerce,06/04/2012,31/08/2012,147,3.86152,29/06/2010
Department of Commerce,31/05/2012,31/08/2012,92,38.99609,02/12/2010
Department of Commerce,28/09/2012,31/08/2012,-28,3.88421,03/10/2011
Department of Commerce,03/04/2012,30/08/2012,149,2.3074,08/06/2011
Department of Commerce,24/08/2012,28/08/2012,4,0.60144,19/04/2011
Department of Commerce,28/08/2012,28/08/2012,0,1.29675,15/12/2010
Department of Commerce,20/09/2011,27/08/2012,342,6.9643,03/03/2010
Department of Commerce,15/08/2012,27/08/2012,12,1.05749,15/12/2011
Department of Commerce,25/05/2012,24/08/2012,91,4.11065,17/01/2011
Department of Commerce,25/05/2012,23/08/2012,90,0.845,21/12/2011
Department of Commerce,30/04/2012,20/08/2012,112,0.475,01/11/2011
Department of Commerce,20/08/2012,20/08/2012,0,0.15431,31/05/2012
Department of Commerce,30/06/2012,08/08/2012,39,5.16559,21/02/2011
Department of Commerce,01/08/2012,01/08/2012,0,0.18,05/08/2011
Department of Commerce,18/05/2012,31/07/2012,74,2.84647,08/12/2011
Department of Commerce,31/07/2012,31/07/2012,0,2.06623,01/12/2011
Department of Commerce,03/05/2012,20/07/2012,78,1.45952,13/09/2011
Department of Commerce,03/11/2011,12/07/2012,252,0.544,01/03/2011
Department of Commerce,30/06/2012,30/06/2012,0,2.281,01/07/2008
Department of Commerce,30/06/2012,30/06/2012,0,4.8105,01/07/2011
Department of Commerce,30/06/2012,30/06/2012,0,0.675,01/10/2010
Department of Commerce,29/06/2012,29/06/2012,0,0.04,20/10/2011
Department of Commerce,31/03/2012,28/06/2012,89,6.28632,01/06/2009
Department of Commerce,21/05/2012,20/06/2012,30,0.93947,22/12/2011
Department of Commerce,11/06/2012,11/06/2012,0,0.38762,01/08/2011
Department of Commerce,30/03/2012,30/05/2012,61,1.238,03/01/2011
Department of Commerce,25/05/2012,25/05/2012,0,0.33,06/09/2010
Department of Commerce,26/01/2012,23/05/2012,118,1.852941,01/10/2010
Department of Commerce,30/04/2012,30/04/2012,0,0.4776,08/11/2011
Department of Commerce,16/12/2011,20/04/2012,126,4.50689,21/07/2010
Department of Commerce,13/04/2012,13/04/2012,0,0.24878,20/10/2011
Department of Commerce,04/10/2011,05/04/2012,184,0.27056,09/12/2010
Department of Commerce,02/04/2012,02/04/2012,0,0.5,01/07/2011
Department of Commerce,17/03/2012,31/03/2012,14,8.149,28/07/2010
Department of Commerce,31/03/2012,31/03/2012,0,0.413,20/08/2011
Department of Commerce,31/03/2012,31/03/2012,0,0.175,15/08/2011
Department of Commerce,30/03/2012,30/03/2012,0,0.555,01/10/2010
Department of Commerce,19/03/2012,27/03/2012,8,0.45074,04/02/2011
Department of Commerce,31/03/2012,19/03/2012,-12,1.0001,01/07/2011
Department of Commerce,31/03/2012,09/03/2012,-22,0.15,01/10/2011
Department of Commerce,29/02/2012,06/03/2012,6,1.383,01/11/2011
Department of Commerce,05/03/2012,05/03/2012,0,0.14,24/06/2010
Department of Commerce,28/02/2012,02/03/2012,3,40.7,25/08/2010
Department of Commerce,02/03/2012,02/03/2012,0,10.81775,01/02/2011
Department of Commerce,29/02/2012,29/02/2012,0,100.6346,01/10/2011
Department of Commerce,21/12/2011,29/02/2012,70,0.36772,14/10/2010
Department of Commerce,17/01/2012,10/02/2012,24,0.28442,28/07/2011
Department of Commerce,15/03/2012,09/02/2012,-35,0.092,15/03/2012
Department of Commerce,05/01/2012,05/02/2012,31,0.2,01/10/2011
Department of Commerce,31/01/2012,31/01/2012,0,0.69629,01/05/2011
Department of Commerce,07/12/2011,30/01/2012,54,0.208,02/08/2010
Department of Commerce,31/01/2012,30/01/2012,-1,4.98266,01/09/2010
Department of Commerce,04/01/2012,30/01/2012,26,0.22943,09/02/2011
Department of Commerce,20/01/2012,20/01/2012,0,3.42,30/09/2009
Department of Commerce,16/03/2011,11/01/2012,301,0.84215,18/02/2010
Department of Commerce,31/12/2011,31/12/2011,0,0.03,01/09/2011
Department of Commerce,30/12/2011,30/12/2011,0,0.704857,01/07/2011
Department of Commerce,30/12/2011,30/12/2011,0,0.52294,09/12/2010
Department of Commerce,30/12/2011,30/12/2011,0,0.81178,09/04/2009
Department of Commerce,29/12/2011,29/12/2011,0,0.33277,02/03/2011
Department of Commerce,30/03/2012,23/12/2011,-98,0.48,03/10/2011
Department of Commerce,31/10/2011,21/12/2011,51,0.291779,01/07/2011
Department of Commerce,07/10/2011,16/12/2011,70,0.286,16/12/2010
Department of Commerce,15/12/2011,15/12/2011,0,27.6,16/06/2009
Department of Commerce,01/12/2011,15/12/2011,14,1.83,01/11/2010
Department of Commerce,15/12/2011,15/12/2011,0,0.12637,26/05/2011
Department of Commerce,14/12/2011,14/12/2011,0,49.06,18/06/2009
Department of Commerce,02/12/2011,12/12/2011,10,2.47,10/05/2011
Department of Commerce,31/03/2012,08/12/2011,-114,30.161314,01/03/2006
Department of Commerce,22/11/2011,22/11/2011,0,0.095277,31/01/2011
Department of Commerce,02/11/2011,17/11/2011,15,2.36071,04/03/2011
Department of Commerce,17/11/2011,17/11/2011,0,0.73381,27/05/2011
Department of Commerce,15/11/2011,14/11/2011,-1,0.0075,01/09/2011
Department of Commerce,30/03/2012,31/10/2011,-151,0.075,01/06/2011
Department of Commerce,31/10/2011,31/10/2011,0,3.41581,10/04/2010
Department of Commerce,26/10/2011,26/10/2011,0,0.24842,12/01/2011
Department of Commerce,29/04/2011,18/10/2011,172,1.09065,02/02/2010
Department of Commerce,13/10/2011,13/10/2011,0,2.23265,09/12/2010
Department of Commerce,30/09/2011,30/09/2011,0,63.352,01/10/2010
Department of Commerce,30/09/2011,30/09/2011,0,25.4,01/10/2010
Department of Commerce,30/09/2011,30/09/2011,0,9.696,01/10/2010
Department of Commerce,30/09/2011,30/09/2011,0,2.291,03/01/2011
Department of Commerce,25/09/2011,30/09/2011,5,1.91382,01/10/2010
Department of Commerce,30/09/2011,30/09/2011,0,0.11574,01/10/2010
Department of Commerce,30/09/2011,30/09/2011,0,0.89427,01/10/2010
Department of Commerce,30/09/2011,30/09/2011,0,0.04717,01/10/2010
Department of Commerce,30/09/2011,30/09/2011,0,0.166,01/10/2010
Department of Commerce,21/09/2011,28/09/2011,7,0.489584,03/08/2010
Department of Commerce,30/09/2011,23/09/2011,-7,0.59,01/10/2010
Department of Commerce,08/08/2011,18/08/2011,10,0.64406,01/06/2010
Department of Commerce,30/06/2011,22/07/2011,22,0.66677,20/10/2010
Department of Commerce,,,,0.606,16/04/2011
Department of Commerce,,,,6.12603,01/07/2011
Department of Commerce,,,,0.405383,03/10/2011
Department of Commerce,,,,1.9085,24/05/2011
Department of Commerce,,,,1.4151,01/07/2011
Department of Commerce,,,,0.377089,03/10/2011
Department of Commerce,,,,4.07484,01/07/2011
Department of Commerce,,,,0.105,01/02/2011
Department of Commerce,,,,44,01/10/2005
Department of Commerce,,,,5.6,03/10/2011
Department of Commerce,,,,2,01/12/2011
Department of Commerce,,,,2.8,03/10/2011
Department of Commerce,,,,1.445,01/07/2011
Department of Commerce,,,,0.5015,01/07/2011
Department of Commerce,,,,1.49178,01/10/2012
Department of Commerce,,,,0.7755,01/10/2012
Department of Commerce,,,,1.59772,01/10/2012
Department of Commerce,,,,8.972,01/07/2008
Department of Commerce,,,,3.386,01/10/2011
Department of Commerce,,,,90,23/09/2010
Department of Commerce,,,,21.86,19/07/2011
Department of Commerce,,,,2.4,01/10/2011
Department of Commerce,,,,3.936,01/10/2011
Department of Commerce,,,,1.05,01/10/2011
Department of Commerce,,,,17,12/12/2011
Department of Commerce,,,,65.375,01/10/2011
Department of Commerce,,,,0.675,15/02/2012
Department of Commerce,,,,5.195,17/12/2010
Department of Commerce,,,,49.89,01/10/2012
Department of Commerce,,,,48.655,01/10/2010
Department of Commerce,,,,1.62,01/07/2012
Department of Commerce,,,,79.598,01/10/2002
Department of Commerce,,,,32.369,21/09/2007
Department of Commerce,,,,65.233,01/06/2010
Department of Commerce,,,,108.774,01/06/2010
Department of Commerce,,,,27.014,01/03/2010
Department of Commerce,,,,13.809,01/05/2010
Department of Commerce,,,,105.382,01/09/2010
Department of Commerce,,,,1.5,01/10/2011
Department of Commerce,,,,4.5,01/10/2011
Department of Commerce,,,,30,01/10/2011
Department of Commerce,,,,42,01/10/2011
Department of Commerce,,,,94.4061,01/01/2012
Department of Commerce,,,,41.06,01/02/2012
Department of Commerce,,,,116.7527,01/05/2012
Department of Commerce,,,,35.313,15/03/2012
Department of Commerce,,,,4.25,01/10/2011
Department of Commerce,,,,13.783,01/04/2011
Department of Commerce,,,,2.424,16/03/2012
Department of Commerce,,,,11.365234,01/10/2011
Department of Commerce,,,,15.796858,01/10/2011
Department of Commerce,,,,14.327908,01/10/2011
Department of Commerce,,,,1.55809,01/07/2011
Department of Commerce,,,,2.179936,01/07/2011
Department of Commerce,,,,2.514063,01/07/2011
Department of Commerce,,,,0.617595,01/07/2011
Department of Commerce,,,,8.141993,01/07/2011
Department of Commerce,,,,12.824599,01/11/2011
Department of Commerce,,,,14.534012,01/11/2011
Department of Commerce,,,,3.27,01/10/2010
Department of Commerce,,,,72.63,18/11/2011
Department of Commerce,,,,0.16,01/09/2011
Department of Commerce,,,,0.375,01/10/2012
Department of Commerce,,,,0.46,01/10/2012
Department of Commerce,,,,0.475,01/10/2012
Department of Commerce,,,,0.2,01/10/2012
Department of Commerce,,,,10.7751,01/10/2011
Department of Commerce,,,,16,01/10/2012
Department of Commerce,,,,12.672268,02/09/2011
Department of Commerce,,,,0.1008,31/01/2011
Department of Commerce,,,,2.04412,30/06/2011
Department of Commerce,,,,2.40462,15/12/2010
Department of Commerce,,,,3.45217,19/10/2011
Department of Commerce,,,,0.5,17/10/2012
Department of Commerce,,,,1,11/07/2012
Department of Commerce,,,,0.94928,14/02/2012
Department of Commerce,,,,3.19378,15/02/2012
Department of Commerce,,,,1.39027,04/04/2012
Department of Commerce,,,,0.707722,01/02/2011
Department of Commerce,,,,0.29143,30/09/2011
Department of Commerce,,,,4.50311,28/06/2011
Department of Commerce,,,,3.835079,02/04/2012
Department of Commerce,,,,1.77327,31/10/2012
Department of Commerce,,,,76.09074,02/04/2012
Department of Defense,01/01/2015,01/01/2015,0,1873.244,01/10/2001
Department of Defense,30/09/2014,30/09/2014,0,31112.9,21/12/1992
Department of Defense,30/06/2014,30/06/2014,0,1274.29,15/09/2008
Department of Defense,31/12/2013,31/12/2013,0,569.976,31/01/2012
Department of Defense,30/11/2013,30/11/2013,0,1595.233,28/03/2008
Department of Defense,30/09/2013,30/09/2013,0,33.249,18/04/2012
Department of Defense,14/07/2013,14/07/2013,0,16.972,18/04/2012
Department of Defense,31/12/2012,29/06/2013,180,131.388,01/10/2008
Department of Defense,01/06/2013,01/06/2013,0,15.812,31/01/2012
Department of Defense,31/05/2013,31/05/2013,0,24.88,01/12/2011
Department of Defense,15/05/2013,15/05/2013,0,26,16/09/2011
